index,0,1,2,3,4
0,0.017859155,0.791111231,0.135474101,0.055312451,0.000243039
1,0.077165864,0.081468523,0.650279522,0.150292695,0.04079337
2,0.987747312,0.010585534,8.57E-05,4.82E-05,0.001533317
3,0.003088085,0.000851846,0.900352061,1.84E-05,0.09568958
4,0.53698945,0.251148283,0.112680711,0.057344802,0.041836668
5,0.000983967,0.00178973,0.017646555,0.979303837,0.000275853
6,0.012823733,0.058270074,0.196312785,0.730880499,0.001712973
7,0.237632006,0.071090207,0.428609937,0.107700922,0.15496695
8,0.990856051,0.006661426,0.000100848,4.73E-05,0.002334329
9,0.064477801,0.819873035,0.077324986,0.037357587,0.000966546
10,0.000448986,0.00060454,0.008999652,0.989775896,0.00017099
11,0.981790125,0.00266646,0.000238223,0.000143677,0.015161495
12,0.0042517,0.995384872,4.53E-05,0.000317864,2.83E-07
13,0.071292937,0.140701592,0.765511274,0.003298991,0.019195165
14,1.53E-05,0.000171852,0.999365866,0.00026491,0.000182002
15,0.596957326,0.013174149,0.045323968,0.020464212,0.324080259
16,0.042516597,0.036095586,0.863237441,0.004525844,0.053624596
17,2.87E-06,3.28E-05,0.999787748,7.14E-05,0.000105136
18,0.003071396,0.007155946,0.684432983,0.3016783,0.003661394
19,0.525092423,0.147501305,0.228814036,0.011992042,0.08660008
20,0.00010613,0.000816635,0.997759819,0.000737875,0.000579524
21,0.019196928,0.979780674,0.000672927,0.000340453,9.03E-06
22,0.722845912,0.001956593,0.010590548,7.45E-05,0.264532387
23,0.00422266,0.009051645,0.080614641,0.904894888,0.001216107
24,0.004641174,0.008337196,0.173322007,0.811407328,0.002292318
25,0.452909619,0.059296805,0.092899665,0.265794694,0.129099295
26,0.000212425,0.000381128,0.00520038,0.994136453,6.95E-05
27,0.000134546,0.00061992,0.997160435,0.000147149,0.001937952
28,0.989663064,0.000945302,8.55E-05,2.78E-05,0.00927821
29,0.247243226,0.458585501,0.258520931,0.019745909,0.015904505
30,0.001468783,0.003195527,0.024062106,0.97092855,0.000345018
31,0.003180805,0.034979079,0.935880244,0.024680549,0.001279313
32,0.025615688,0.014691669,0.127926439,0.819949865,0.01181634
33,0.185864329,0.000759863,0.023507925,0.001717813,0.788150132
34,0.058660984,0.039251354,0.611708403,0.236125305,0.054253954
35,0.022868674,0.975298285,0.000420429,0.001404404,8.29E-06
36,0.000194828,0.000152208,0.001235125,0.998357832,6.00E-05
37,0.005481902,3.15E-05,0.068564244,2.36E-05,0.92589879
38,0.001056432,2.51E-05,0.345218331,4.80E-06,0.653695345
39,0.018433971,9.26E-05,0.053792063,0.000214901,0.927466512
40,0.256837159,0.151493892,0.185015783,0.365777522,0.040875647
41,0.257976204,0.63120389,0.06704469,0.037553314,0.006221968
42,0.000376535,0.001870877,0.994904995,0.000891066,0.001956539
43,0.69991976,0.085226782,0.114088245,0.004965539,0.095799699
44,0.029915474,0.958201349,0.005131981,0.006689469,6.18E-05
45,5.85E-05,0.000459017,0.998665214,0.00025939,0.000557836
46,0.09143462,0.026883183,0.724903584,0.004894307,0.151884273
47,0.001521805,0.003996084,0.052290559,0.941732466,0.000459142
48,0.003546603,0.991331339,0.001391852,0.003728122,2.08E-06
49,0.001994682,0.005506471,0.036639873,0.955439627,0.000419335
50,0.000363263,0.000123344,0.934320211,3.06E-05,0.06516251
51,0.111838162,0.011616536,0.513333797,0.001936216,0.361275285
52,0.025446607,0.003023976,0.64970088,0.004478568,0.31734997
53,0.004711244,0.000182571,0.395064563,0.003502482,0.59653908
54,0.000996132,1.17E-05,0.157496139,4.90E-06,0.841491163
55,0.003887025,0.993272364,0.000813336,0.002025429,1.73E-06
56,0.000749961,0.001618589,0.0085865,0.98890239,0.000142561
57,0.001620213,4.50E-06,0.027038058,1.75E-05,0.971319675
58,0.032872427,0.011762305,0.725180686,0.125354618,0.104830056
59,0.003662935,0.011308851,0.977879345,0.000906973,0.006241953
60,0.00577335,0.993152022,0.000292517,0.000780731,1.44E-06
61,0.004080853,0.037638854,0.027155384,0.930939078,0.000185834
62,0.033671852,0.027358521,0.756983519,0.13925159,0.042734567
63,0.024576254,0.000799066,0.347621143,0.000355981,0.626647532
64,0.014283897,0.973381341,0.00325087,0.009064496,1.94E-05
65,0.000529768,0.002051599,0.990113497,0.005072615,0.002232596
66,0.83848983,0.003305186,0.004783539,0.001159086,0.152262375
67,4.26E-05,0.000153794,0.998170018,0.000247519,0.001386146
68,0.019815505,0.934267521,0.020312764,0.025515895,8.83E-05
69,0.000222471,0.000405674,0.0014635,0.997874856,3.35E-05
70,0.000304877,0.000452011,0.003991803,0.995159447,9.18E-05
71,0.008192483,0.007683245,0.944464803,0.002321996,0.0373374
72,0.000297636,0.00044002,0.001084959,0.998135328,4.20E-05
73,0.000193278,0.001800618,0.996199191,0.001175119,0.000631799
74,0.004078311,0.99200964,0.000880974,0.003029171,1.84E-06
75,0.002988009,0.003210852,0.008298359,0.984980464,0.000522261
76,0.050735161,0.004631674,0.523760319,0.015275395,0.405597389
77,0.969474494,0.007393637,0.000998264,0.000407117,0.021726456
78,0.459999263,0.001531866,0.016009813,0.000433016,0.522026002
79,0.176212892,0.147011101,0.589647949,0.025266303,0.061861757
80,0.026693534,0.962126195,0.007215108,0.00389755,6.77E-05
81,0.057450131,0.023397146,0.75577879,0.037141457,0.12623243
82,0.061354607,0.073394813,0.793875396,0.033253826,0.038121302
83,0.000385356,0.000864631,0.007102299,0.991561115,8.66E-05
84,5.12E-06,6.46E-05,0.999597847,0.000232641,9.98E-05
85,0.670256495,0.307007551,0.002061987,0.017652387,0.003021534
86,0.242105439,0.223894164,0.197099671,0.307703167,0.029197648
87,0.000134007,0.000752773,0.995875895,0.002466562,0.000770679
88,0.113963246,0.329161823,0.444774687,0.101172924,0.010927311
89,0.000873471,0.002461748,0.009934265,0.986606836,0.00012363
90,0.177394554,0.529919982,0.036500212,0.252827108,0.003358155
91,0.091671519,0.671993136,0.219004929,0.014294288,0.003036056
92,0.212500691,0.082861274,0.061145317,0.617116749,0.026375972
93,0.000626027,0.001172185,0.006681012,0.991392255,0.000128552
94,0.001120115,0.001856094,0.026854184,0.969753921,0.000415693
95,0.699201882,0.164587498,0.032176308,0.068490282,0.035543993
96,0.00018623,0.000225098,0.00119823,0.998349428,4.11E-05
97,0.985389173,0.011992786,0.000104916,0.000156068,0.002357116
98,0.005332745,2.98E-05,0.058896124,0.000109288,0.93563199
99,0.00065752,0.000918328,0.008285252,0.989949107,0.00018977
100,0.004166505,0.045650795,0.90064013,0.048240121,0.001302409
101,0.993298233,0.002439465,8.07E-05,1.79E-05,0.004163624
102,0.000816163,0.001997002,0.021683676,0.975288689,0.000214461
103,0.231553316,0.010083983,0.318574995,0.000181509,0.43960622
104,0.944083452,0.001645685,0.000739944,0.000223277,0.053307559
105,0.008877764,0.783554077,0.009441148,0.198104426,2.26E-05
106,0.161860645,0.789040148,0.022301836,0.025379419,0.001417952
107,0.000455909,0.003463744,0.992123306,0.00287723,0.001079771
108,0.009782272,0.985400021,0.000472706,0.004341638,3.44E-06
109,0.000763502,0.007078376,0.985230803,0.005951062,0.000976183
110,0.956252694,0.033663254,0.002630976,6.49E-05,0.007388242
111,0.484325498,0.037260674,0.029026695,0.354566336,0.094820864
112,0.000606971,0.001044077,0.00351073,0.994743824,9.44E-05
113,0.045640726,0.0251165,0.848979294,0.002063551,0.078199953
114,0.00052033,0.001172821,0.009357523,0.988832593,0.000116757
115,0.6150859,0.276992112,0.069471866,0.012193581,0.026256585
116,0.142120674,0.01454082,0.529996097,0.000838284,0.312504113
117,0.997563958,0.000689839,1.05E-05,1.11E-05,0.001724632
118,0.000272029,0.000499059,0.002450134,0.99673152,4.73E-05
119,0.046706736,0.950160384,0.002155603,0.000920982,5.63E-05
120,0.175232664,0.027910216,0.364057064,0.184102222,0.248697788
121,0.000991813,0.000946024,0.003865808,0.993962824,0.000233536
122,0.869078398,0.118562542,0.006529048,6.69E-05,0.0057632
123,0.732236862,0.001510761,0.006038915,0.000120952,0.260092527
124,0.006287694,0.991785467,0.00064064,0.001283668,2.47E-06
125,2.83E-05,0.000392064,0.998964071,0.00042227,0.000193226
126,0.00851388,0.989416063,0.00015007,0.001918499,1.47E-06
127,0.500606656,0.000895129,0.008727792,0.000227191,0.4895432
128,0.002953677,1.85E-05,0.071221769,3.14E-05,0.925774634
129,0.019021554,0.000912044,0.515532374,7.10E-05,0.464463025
130,0.003062278,0.004702044,0.973735452,0.004309562,0.014190646
131,0.50494653,0.031379174,0.141828716,0.025494162,0.296351373
132,0.523278058,0.245324716,0.028137803,0.18283689,0.020422524
133,0.997240067,0.001781666,9.88E-06,1.56E-05,0.000952783
134,0.913079977,0.053464588,0.007001774,0.002236613,0.024217056
